Jabatan,Level,Direktorat/Fungsi,Sumber/Catatan
Area Sales Manager (ASM),Manajerial,Komersial / Penjualan,Dexa Group [7]
Regional Sales Manager (RSM),Manajerial,Komersial / Penjualan,PT Taisho Pharmaceutical [7]
HR Manager,Manajerial,Human Capital,PT Biome Distribusi Asia [8]
QA/QC Supervisor,Manajerial,Operasi / QA/QC,Industri Farmasi [9, 10]
Sales Manager,Manajerial,Komersial / Penjualan,PT Nutrilab Pratama [7]
Sales Supervisor,Manajerial,Komersial / Penjualan,Industri Farmasi
Promotion & Sales Senior Supervisor,Manajerial,Komersial / Pemasaran,PT Indec Diagnostics
QC Manager,Manajerial,Operasi / QA/QC,Industri Farmasi [9]
Supervisor Produksi,Manajerial,Operasi / Produksi,Industri Farmasi
Regulatory Affairs Manager,Manajerial,Kepatuhan / Regulasi,PT BIFARMA ADILUHUNG [8]
Brand Manager,Manajerial,Komersial / Pemasaran,Industri Farmasi
Assistant Brand Manager,Manajerial,Komersial / Pemasaran,Industri Farmasi
QC Sr. Supervisor,Manajerial,Operasi / QA/QC,Industri Farmasi
Staf Hukum Perusahaan dan Kepatuhan,Manajerial (Staf Senior),Legal / Kepatuhan,PT Bio Farma (Persero)
