Jabatan,Level,Direktorat/Fungsi,Sumber/Catatan
Medical Representative,Staf (Entry-Level),Komersial / Penjualan,PT. Kimia Farma Tbk [3]
Tenaga Project Ahli Teknologi Laboratorium Medis (ATLM),Staf (Entry-Level),Operasi / Layanan Diagnostika,PT Kimia Farma Diagnostika [4]
Business Support,Staf (Junior),Human Capital / Pendukung Bisnis,PT Kimia Farma Diagnostika [5]
Tenaga Pendamping Konsultan SAP FI,Staf (Spesialis),Keuangan / TI,PT. KIMIA FARMA (PERSERO) TBK [4]
Pelaksana ATLM (Internship),Staf (Entry-Level),Operasi / Layanan Diagnostika,PT. Kimia Farma Diagnostika [6]
Asisten Dokter Gigi (Internship/Mitra),Staf (Entry-Level),Operasi / Layanan Diagnostika,PT. Kimia Farma Diagnostika [6]
Pelaksana Perawat (Internship),Staf (Entry-Level),Operasi / Layanan Diagnostika,PT. Kimia Farma Diagnostika [6]
Asisten Apoteker (TTK - Mitra),Staf (Entry-Level),Operasi / Layanan Farmasi,PT. Kimia Farma Diagnostika [3]
Operator Produksi,Staf (Teknis),Operasi / Produksi,Industri Farmasi
Staff Document Control and Regulatory,Staf (Spesialis),Operasi / Kepatuhan,Industri Farmasi
Staff Analis Microbiology,Staf (Teknis),Operasi / QC,Industri Farmasi
Admin Produksi,Staf (Administrasi),Operasi / Produksi,Pabrik Alat Kesehatan
Staf Human Capital Business Partner (HCBP),Staf (Junior),Human Capital,PT Bio Farma (Persero)
HR Staff,Staf (Junior),Human Capital,Industri Farmasi
PPIC Staff,Staf (Teknis),Operasi / PPIC,Industri Farmasi
R&D Staff,Staf (Teknis),R&D / Operasi,Industri Farmasi
Staf Administrasi dan Operasional Pengiriman,Staf (Administrasi),Operasi / Supply Chain,PT Bio Farma (Persero)
