Peran,Jenis Kualifikasi,Deskripsi Kualifikasi,Catatan/Sumber
Apoteker Penanggung Jawab (APJ),Pendidikan Formal,Profesi Apoteker [11]
Apoteker Penanggung Jawab (APJ),Lisensi Wajib,STRA (Surat Tanda Registrasi Apoteker) aktif [11]
Apoteker Penanggung Jawab (APJ),Lisensi Wajib,Sertifikat Kompetensi Profesi Apoteker,Berlaku 5 tahun, dikeluarkan IAI [12, 13]
QA/QC Supervisor,Pendidikan Formal,Minimal S1 Farmasi, Biologi, atau terkait [10]
QA/QC Supervisor,Pengetahuan Kunci,Memahami Cara Pembuatan Obat yang Baik (CPOB) / GMP [10]
QA/QC Supervisor,Pengetahuan Tambahan,Memahami sistem jaminan Halal (SJH) [10]
Staff Document Control,Pendidikan Formal,S1 Profesi Apoteker
Staff Document Control,Pengetahuan Kunci,"Memahami CPOB, GMP, ISO 14000, OHSAS 180001, sistem jaminan halal"
Tenaga Teknis Kefarmasian (TTK),Pendidikan Formal,Minimal D3 Farmasi [11]
Tenaga Teknis Kefarmasian (TTK),Lisensi Wajib,STRTTK (Surat Tanda Registrasi Tenaga Teknis Kefarmasian) aktif [11]
Manager HR,Sertifikasi Profesional,Certified Human Resources Manager (CHRM) - BNSP [14]
Manager HR,Sertifikasi Profesional,Certified Human Resources Management Professional (CHRMP) [14]
Manager HR,Sertifikasi Profesional,Certified Human Capital Professional (CHCP) [14]
HR Staff,Sertifikasi Profesional,Sertifikasi HR Staff - BNSP (SKKNI 149/2020)
